ncircles,bradius,tradius,ID,MT,IDMT,IDsquare,MTsquare,Throughput
20,170,27,2.867164317,1.34441,3.85464438,8.220631222,1.807438248,2.132656197
20,216,27,3.169925001,1.37724,4.365747509,10.04842451,1.896790018,2.301650403
20,223,27,3.210896782,1.31342,4.217256052,10.30985815,1.725072096,2.444683942
20,170,20,3.247927513,1.37881,4.478274935,10.54903313,1.901117016,2.355601942
20,216,20,3.560714954,1.47698,5.259104773,12.67869099,2.18146992,2.410807834
20,223,20,3.602884409,1.48072,5.334863002,12.98077606,2.192531718,2.433197639
